film,year,script type,Rotten Tomatoes prcnt,Metacritic prcnt,Average critics prcnt,Rotten Tomatoes Audience prcnt,Metacritic Audience prcnt,Rotten Tomatoes vs Metacritic prcnt deviance,Average audience prcnt,Audience vs Critics deviance prcnt,Genre,Opening Weekend,Opening weekend (million),Domestic Gross,Domestic gross (million),Foreign Gross (million),Foreign Gross,Worldwide Gross,Worldwide Gross (million),prcnt of Gross earned abroad,Budget (million),prcnt Budget recovered,prcnt Budget recovered opening weekend,Oscar Winners,Oscar Detail,link,None
Confessions of a Shopaholic ,2009,adaptation,24,38,31,53,47,6,50,-19,"comedy, romance",15000000,15.00,44270000,44.27,64.05,64050000,"108,300,000",108.3,59.14%,70,154.71%,21.43%,,,http://www.amazon.com/gp/product/B004MWSUXG/?tag=titb-20,1
Inglourious Basterds ,2009,original screenplay,88,69,78.5,87,78,9,82.5,-4,"adventure, war",38000000,38.00,120500000,120.50,200.91,200910000,"321,410,000",321.41,62.51%,70,459.16%,54.29%,,,http://www.amazon.com/gp/product/B002YCVWXQ/?tag=titb-20,1
Planet 51 ,2009,original screenplay,22,39,30.5,45,51,-6,48,-17.5,"animation, adventure, comedy",12300000,12.30,42190000,42.19,63.45,63450000,"105,640,000",105.64,60.06%,70,150.91%,17.57%,,,http://www.amazon.com/gp/product/B008Y6VCI6/?tag=titb-20,1
Astro Boy ,2009,adaptation,49,53,51,53,62,-9,57.5,-6.5,"animation, action, family",6700000,6.70,19550000,19.55,20.34,20340000,"39,890,000",39.89,50.99%,65,61.37%,10.31%,,,http://www.amazon.com/gp/product/B0035GX0BM/?tag=titb-20,1
The Lovely Bones ,2009,adaptation,32,42,37,57,62,-5,59.5,-22.5,fantasy ,17000000,17.00,44000000,44.00,49.51,49510000,"93,510,000",93.51,52.95%,65,143.86%,26.15%,,,http://www.amazon.com/gp/product/B003IBEH02/?tag=titb-20,1
Coraline ,2009,adaptation,89,80,84.5,77,80,-3,78.5,6,"animation, fantasy, thriller",16800000,16.80,75280000,75.28,49.3,49300000,"124,580,000",124.58,39.57%,60,207.63%,28.00%,,,http://www.amazon.com/gp/product/B002BWCJOA/?tag=titb-20,1
Inkheart ,2009,adaptation,39,50,44.5,51,59,-8,55,-10.5,"adventure, family, fantasy",7600000,7.60,17300000,17.30,45.14,45140000,"62,440,000",62.44,72.29%,60,104.07%,12.67%,,,http://www.amazon.com/gp/product/B002BCTM4A/?tag=titb-20,1
Invictus,2009,adaptation,75,74,74.5,74,72,2,73,1.5,"biography, history",8600000,8.60,37490000,37.49,84.74,84740000,"122,230,000",122.23,69.33%,60,203.72%,14.33%,,,http://www.amazon.com/gp/product/B003MUOUI8/?tag=titb-20,1
State of Play ,2009,adaptation,84,64,74,71,73,-2,72,2,mystery,14100000,14.10,37020000,37.02,50.79,50790000,"88,300,000",88.3,57.52%,60,147.17%,23.50%,,,http://www.amazon.com/gp/product/B002NJEJ3A/?tag=titb-20,1
The Soloist ,2009,based on a true story,56,61,58.5,59,69,-10,64,-5.5,"biography, music",9700000,9.70,31700000,31.70,6.61,6610000,"38,310,000",38.31,17.25%,60,63.85%,16.17%,,,http://www.amazon.com/gp/product/B002JQIRTO/?tag=titb-20,1
Couples Retreat ,2009,original screenplay,12,23,17.5,47,45,2,46,-28.5,comedy,34300000,34.30,109200000,109.20,62.63,62630000,"171,830,000",171.83,36.45%,60,286.38%,57.17%,,,http://www.amazon.com/gp/product/B003361WQ4/?tag=titb-20,1
Duplicity ,2009,original screenplay,64,69,66.5,38,50,-12,44,22.5,"crime, romance, thriller",14000000,14.00,40570000,40.57,37.57,37570000,"78,140,000",78.14,48.08%,60,130.23%,23.33%,,,http://www.amazon.com/gp/product/B002LANLJY/?tag=titb-20,1
Year One ,2009,original screenplay,14,34,24,31,47,-16,39,-15,"adventure, comedy ",19600000,19.60,43330000,43.33,19.02,19020000,"62,350,000",62.35,30.51%,60,103.92%,32.67%,,,http://www.amazon.com/gp/product/B002N62FZC/?tag=titb-20,1
The Pink Panther 2 ,2009,sequel,12,36,24,47,51,-4,49,-25,"adventure, comedy, crime",11600000,11.60,35920000,35.92,40.02,40020000,"75,940,000",75.94,52.70%,59,128.71%,19.66%,,,http://www.amazon.com/gp/product/B002IR9ZQS/?tag=titb-20,1
Did You Hear About the Morgans? ,2009,original screenplay,12,27,19.5,31,51,-20,41,-21.5,"comedy, romance",6600000,6.60,29580000,29.58,55.7,55700000,"85,280,000",85.28,65.31%,58,147.03%,11.38%,,,http://www.amazon.com/gp/product/B003881ISE/?tag=titb-20,1
Imagine That ,2009,original screenplay,38,54,46,44,57,-13,50.5,-4.5,"comedy, family",5500000,5.50,16120000,16.12,6.86,6860000,"22,990,000",22.99,29.84%,55,41.80%,10.00%,,,http://www.amazon.com/gp/product/B002PHW9IC/?tag=titb-20,1
Law Abiding Citizen ,2009,original screenplay,25,34,29.5,77,66,11,71.5,-42,"crime, thriller",21000000,21.00,73400000,73.40,53.08,53080000,"126,480,000",126.48,41.97%,53,238.64%,39.62%,,,http://www.amazon.com/gp/product/B003CP72QK/?tag=titb-20,1
Ghosts of Girlfriends Past ,2009,adaptation,27,34,30.5,47,49,-2,48,-17.5,"comedy, fantasy, romance",15400000,15.40,55250000,55.25,46.97,46970000,"102,220,000",102.22,45.95%,50,204.44%,30.80%,,,http://www.amazon.com/gp/product/B002LAZEJE/?tag=titb-20,1
Race to Witch Mountain ,2009,adaptation,42,52,47,50,68,-18,59,-12,"action, adventure, family",24400000,24.40,67170000,67.17,39.21,39210000,"106,380,000",106.38,36.86%,50,212.76%,48.80%,,,http://www.amazon.com/gp/product/B004QBE6S6/?tag=titb-20,1
Street Fighter: The Legend of Chun-Li ,2009,adaptation,16,17,16.5,28,32,-4,30,-13.5,"action, crime, sci-fi",4700000,4.70,8740000,8.74,4.02,4020000,"12,340,000",12.34,32.58%,50,24.68%,9.40%,,,http://www.amazon.com/gp/product/B009EEDZ46/?tag=titb-20,1
Knowing ,2009,original screenplay,33,41,37,50,61,-11,55.5,-18.5,"mystery, sci-fi",24600000,24.60,79950000,79.95,103.63,103630000,"183,580,000",183.58,56.45%,50,367.16%,49.20%,,,http://www.amazon.com/gp/product/B002GGKBT6/?tag=titb-20,1
Ninja Assassin ,2009,original screenplay,25,34,29.5,57,66,-9,61.5,-32,"action, crime, thriller",13300000,13.30,38120000,38.12,23.47,23470000,"61,590,000",61.59,38.11%,50,123.18%,26.60%,,,http://www.amazon.com/gp/product/B0036JU6CY/?tag=titb-20,1
"Pirate Radio (The Boat that Rocked, UK)",2009,original screenplay,60,58,59,72,63,9,67.5,-8.5,"comedy, music ",2900000,2.90,8010000,8.01,28.33,28330000,"36,340,000",36.34,77.96%,50,72.68%,5.80%,,,http://www.amazon.com/gp/product/B0037VKDQ0/?tag=titb-20,1
The International ,2009,original screenplay,58,52,55,39,64,-25,51.5,3.5,"action, crime, mystery",9300000,9.30,25400000,25.40,34.7,34700000,"60,100,000",60.1,57.74%,50,120.20%,18.60%,,,http://www.amazon.com/gp/product/B0024R6VIW/?tag=titb-20,1
The Twilight Saga: New Moon ,2009,sequel,27,44,35.5,78,37,41,57.5,-22,"adventure, drama, fantasy",142800000,142.80,296620000,296.62,413.2,413200000,"709,820,000",709.82,58.21%,50,1419.64%,285.60%,,,http://www.amazon.com/gp/product/B0035KMSQQ/?tag=titb-20,1
Aliens in the Attic ,2009,original screenplay,30,42,36,46,52,-6,49,-13,"adventure, comedy, family",8000000,8.00,25200000,25.20,32.68,32680000,"57,880,000",57.88,56.46%,45,128.62%,17.78%,,,http://www.amazon.com/gp/product/B002VDCTZ8/?tag=titb-20,1
Brüno ,2009,original screenplay,68,54,61,48,59,-11,53.5,7.5,comedy,30600000,30.60,60100000,60.10,78.75,78750000,"130,800,000",130.8,60.21%,42,311.43%,72.86%,,,http://www.amazon.com/gp/product/B002TL08FU/?tag=titb-20,1
Cirque du Freak: The Vampire's Assistant ,2009,adaptation,38,43,40.5,50,58,-8,54,-13.5,"action, adventure, fantasy",6300000,6.30,13870000,13.87,25.36,25360000,"39,230,000",39.23,64.64%,40,98.08%,15.75%,,,http://www.amazon.com/gp/product/B0035FRYR4/?tag=titb-20,1
Fantastic Mr. Fox ,2009,adaptation,93,83,88,80,82,-2,81,7,"animation, adventure, comedy",7000000,7.00,21000000,21.00,25.46,25460000,"46,460,000",46.46,54.80%,40,116.15%,17.50%,,,http://www.amazon.com/gp/product/B009EEQAT8/?tag=titb-20,1
Julie & Julia ,2009,adaptation,74,66,70,69,73,-4,71,-1,"biography, romance",20000000,20.00,94120000,94.12,32.45,32450000,"126,570,000",126.57,25.64%,40,316.43%,50.00%,,,http://www.amazon.com/gp/product/B002VXKYCS/?tag=titb-20,1
Pandorum ,2009,adaptation,28,28,28,49,78,-29,63.5,-35.5,"action, horror, mystery",4400000,4.40,10300000,10.30,10.31,10310000,"17,000,000",17,60.65%,40,42.50%,11.00%,,,http://www.amazon.com/gp/product/B0038P80CO/?tag=titb-20,1
Amelia ,2009,based on a true story,21,37,29,35,58,-23,46.5,-17.5,"adventure, biography",3900000,3.90,14250000,14.25,5.4,5400000,"19,200,000",19.2,28.13%,40,48.00%,9.75%,,,http://www.amazon.com/gp/product/B0036SLOP8/?tag=titb-20,1
"I Love You, Man ",2009,original screenplay,83,70,76.5,72,74,-2,73,3.5,comedy,17800000,17.80,71400000,71.40,20.2,20200000,"91,400,000",91.4,22.10%,40,228.50%,44.50%,,,http://www.amazon.com/gp/product/B002ICE0O0/?tag=titb-20,1
The Proposal ,2009,original screenplay,43,48,45.5,74,67,7,70.5,-25,"comedy, romance",33600000,33.60,163960000,163.96,153.42,153420000,"314,700,000",314.7,48.75%,40,786.75%,84.00%,,,http://www.amazon.com/gp/product/B0060D15AK/?tag=titb-20,1
The Final Destination ,2009,sequel,29,30,29.5,52,48,4,50,-20.5,"horror, thriller",27400000,27.40,66500000,66.50,119.69,119690000,"186,190,000",186.19,64.28%,40,465.48%,68.50%,,,http://www.amazon.com/gp/product/B002YDTPHA/?tag=titb-20,1
The Time Traveler's Wife ,2009,adaptation,38,47,42.5,65,68,-3,66.5,-24,"fantasy, romance",18600000,18.60,63410000,63.41,37.92,37920000,"101,330,000",101.33,37.42%,39,259.82%,47.69%,,,http://www.amazon.com/gp/product/B0030RZEKG/?tag=titb-20,1
Push ,2009,original screenplay,22,36,29,47,70,-23,58.5,-29.5,"action, sci-fi, thriller",10100000,10.10,31810000,31.81,17.04,17040000,"48,850,000",48.85,34.88%,38,128.55%,26.58%,,,http://www.amazon.com/gp/product/B002GH6VYE/?tag=titb-20,1
The Ugly Truth ,2009,original screenplay,14,28,21,68,50,18,59,-38,"comedy, romance",27600000,27.60,88900000,88.90,116.38,116380000,"205,280,000",205.28,56.69%,38,540.21%,72.63%,,,http://www.amazon.com/gp/product/B002W9BO8O/?tag=titb-20,1
Hannah Montana: The Movie ,2009,adaptation,44,47,45.5,66,49,17,57.5,-12,"comedy, family",32300000,32.30,79580000,79.58,75.97,75970000,"155,550,000",155.55,48.84%,35,444.43%,92.29%,,,http://www.amazon.com/gp/product/B003W9LKBO/?tag=titb-20,1
Hotel for Dogs ,2009,adaptation,46,51,48.5,57,47,10,52,-3.5,"comedy, family",17000000,17.00,73000000,73.00,43.97,43970000,"118,200,000",118.2,37.20%,35,337.71%,48.57%,,,http://www.amazon.com/gp/product/B0026OFZXU/?tag=titb-20,1
Whiteout ,2009,adaptation,7,28,17.5,28,59,-31,43.5,-26,"action, crime, mystery",4900000,4.90,10280000,10.28,7.57,7570000,"12,200,000",12.2,62.05%,35,34.86%,14.00%,,,http://www.amazon.com/gp/product/B00352TZCE/?tag=titb-20,1
Old Dogs ,2009,original screenplay,5,19,12,49,45,4,47,-35,"comedy, family",16900000,16.90,49490000,49.49,47.26,47260000,"96,750,000",96.75,48.85%,35,276.43%,48.29%,,,http://www.amazon.com/gp/product/B003V5CGHG/?tag=titb-20,1
The Hangover ,2009,original screenplay,79,73,76,87,74,13,80.5,-4.5,comedy,45000000,45.00,277300000,277.30,190.16,190160000,"467,460,000",467.46,40.68%,35,1335.60%,128.57%,,,http://www.amazon.com/gp/product/B002RVCCUQ/?tag=titb-20,1
Underworld: Rise of the Lycans ,2009,sequel,30,44,37,68,72,-4,70,-33,"action, adventure, fantasy",20800000,20.80,45800000,45.80,45.55,45550000,"91,350,000",91.35,49.86%,35,261.00%,59.43%,,,http://www.amazon.com/gp/product/B002EVDEXI/?tag=titb-20,1
9,2009,adaptation,57,60,58.5,58,67,-9,62.5,-4,"animation, action, adventure",10700000,10.70,31740000,31.74,16.67,16670000,"48,410,000",48.41,34.44%,30,161.37%,35.67%,,,http://www.amazon.com/gp/product/B00JNK2T7A/?tag=titb-20,1
District 9 ,2009,adaptation,91,81,86,81,80,1,80.5,5.5,"action, sci-fi, thriller",37400000,37.40,115600000,115.60,95.17,95170000,"210,770,000",210.77,45.15%,30,702.57%,124.67%,,,http://www.amazon.com/gp/product/B0030GJ50C/?tag=titb-20,1
Dragonball Evolution ,2009,adaptation,15,45,30,28,33,-5,30.5,-0.5,"action, adventure, fantasy",4800000,4.80,9360000,9.36,48.13,48130000,"58,230,000",58.23,82.65%,30,194.10%,16.00%,,,http://www.amazon.com/gp/product/B002C4P7J6/?tag=titb-20,1
The Box ,2009,adaptation,46,47,46.5,27,45,-18,36,10.5,"mystery, sci-fi",7600000,7.60,15100000,15.10,18.28,18280000,"33,380,000",33.38,54.76%,30,111.27%,25.33%,,,http://www.amazon.com/gp/product/B0032SQCQI/?tag=titb-20,1
The Haunting in Connecticut ,2009,based on a true story,17,33,25,51,59,-8,55,-30,"horror, thriller",23000000,23.00,55390000,55.39,22.13,22130000,"77,520,000",77.52,28.55%,30,258.40%,76.67%,,,http://www.amazon.com/gp/product/B002B7TQGO/?tag=titb-20,1
Bride Wars ,2009,original screenplay,11,24,17.5,56,37,19,46.5,-29,"comedy, romance",21100000,21.10,58750000,58.75,55.95,55950000,"115,150,000",115.15,48.59%,30,383.83%,70.33%,,,http://www.amazon.com/gp/product/B0027W8T7K/?tag=titb-20,1
Drag Me to Hell ,2009,original screenplay,92,83,87.5,61,60,1,60.5,27,"horror, thriller",15800000,15.80,42100000,42.10,48.7,48700000,"90,800,000",90.8,53.63%,30,302.67%,52.67%,,,http://www.amazon.com/gp/product/B002MUS7LK/?tag=titb-20,1
Orphan ,2009,original screenplay,55,42,48.5,65,75,-10,70,-21.5,"mystery, thriller",12800000,12.80,41590000,41.59,35.1,35100000,"76,690,000",76.69,45.77%,30,255.63%,42.67%,,,http://www.amazon.com/gp/product/B002N14GPE/?tag=titb-20,1
Taking Woodstock ,2009,adaptation,48,55,51.5,48,67,-19,57.5,-6,"comedy, music",3500000,3.50,7460000,7.46,2.52,2520000,"9,980,000",9.98,25.25%,29,34.41%,12.07%,,,http://www.amazon.com/gp/product/B002YDRA0Y/?tag=titb-20,1
My Sister's Keeper ,2009,adaptation,47,51,49,73,65,8,69,-20,drama ,12400000,12.40,49200000,49.20,46.51,46510000,"95,710,000",95.71,48.59%,27.5,348.04%,45.09%,,,http://www.amazon.com/gp/product/B002XCTO5A/?tag=titb-20,1
Paul Blart: Mall Cop ,2009,original screenplay,33,39,36,50,51,-1,50.5,-14.5,"action, comedy, crime",31800000,31.80,146330000,146.33,36.95,36950000,"183,280,000",183.28,20.16%,26,704.92%,122.31%,,,http://www.amazon.com/gp/product/B002G205AA/?tag=titb-20,1
Brothers ,2009,remake / reboot,61,58,59.5,62,73,-11,67.5,-8,"thriller, war",9500000,9.50,28500000,28.50,14.77,14770000,"43,270,000",43.27,34.13%,26,166.42%,36.54%,,,http://www.amazon.com/gp/product/B0039NJTLQ/?tag=titb-20,1
He's Just Not That Into You ,2009,adaptation,42,47,44.5,60,61,-1,60.5,-16,"comedy, romance",27800000,27.80,93950000,93.95,84.89,84890000,"178,840,000",178.84,47.47%,25,715.36%,111.20%,,,http://www.amazon.com/gp/product/B002BBJ52U/?tag=titb-20,1
The Men Who Stare at Goats ,2009,adaptation,52,54,53,43,62,-19,52.5,0.5,"comedy, war",12700000,12.70,32400000,32.40,36.54,36540000,"68,940,000",68.94,53.00%,25,275.76%,50.80%,,,http://www.amazon.com/gp/product/B0036SUQWA/?tag=titb-20,1
The Road ,2009,adaptation,75,64,69.5,65,75,-10,70,-0.5,adventure,1500000,1.50,8120000,8.12,19.51,19510000,"27,630,000",27.63,70.61%,25,110.52%,6.00%,,,http://www.amazon.com/gp/product/B003IWRE3I/?tag=titb-20,1
Up in the Air ,2009,adaptation,90,83,86.5,76,74,2,75,11.5,romance,11200000,11.20,83820000,83.82,116.38,116380000,"200,200,000",200.2,58.13%,25,800.80%,44.80%,,,http://www.amazon.com/gp/product/B003E88TKS/?tag=titb-20,1
Dance Flick ,2009,original screenplay,17,40,28.5,35,46,-11,40.5,-12,"action, comedy, music",10600000,10.60,25660000,25.66,5.77,5770000,"31,430,000",31.43,18.36%,25,125.72%,42.40%,,,http://www.amazon.com/gp/product/B002LWKRNA/?tag=titb-20,1
Taken ,2009,original screenplay,58,50,54,83,77,6,80,-26,"action, crime, thriller",24700000,24.70,145000000,145.00,81.8,81800000,"226,800,000",226.8,36.07%,25,907.20%,98.80%,,,http://www.amazon.com/gp/product/B004F1F32A/?tag=titb-20,1
Zombieland ,2009,original screenplay,90,73,81.5,87,81,6,84,-2.5,"comedy, horror",24700000,24.70,75590000,75.59,26.8,26800000,"102,390,000",102.39,26.17%,23.6,433.86%,104.66%,,,http://www.amazon.com/gp/product/B0030B624E/?tag=titb-20,1
The Informant! ,2009,adaptation,78,66,72,42,59,-17,50.5,21.5,"comedy, crime",10500000,10.50,33310000,33.31,8.45,8450000,"41,760,000",41.76,20.23%,22,189.82%,47.73%,,,http://www.amazon.com/gp/product/B00319KS7C/?tag=titb-20,1
Away We Go ,2009,original screenplay,67,58,62.5,74,67,7,70.5,-8,"comedy, romance",130000,0.13,9450000,9.45,5.44,5440000,"14,890,000",14.89,36.53%,21,70.90%,0.62%,,,http://www.amazon.com/gp/product/B002L2Q1SA/?tag=titb-20,1
Everybody's Fine ,2009,remake / reboot,46,47,46.5,55,73,-18,64,-17.5,adventure ,3900000,3.90,9200000,9.20,7.2,7200000,"16,400,000",16.4,43.90%,21,78.10%,18.57%,,,http://www.amazon.com/gp/product/B009RI42I2/?tag=titb-20,1
Notorious,2009,based on a true story,50,60,55,66,54,12,60,-5,"biography, music",20500000,20.50,36840000,36.84,7.52,7520000,"44,360,000",44.36,16.95%,20,221.80%,102.50%,,,http://www.amazon.com/gp/product/B002AKFFVM/?tag=titb-20,1
12 Rounds ,2009,original screenplay,30,38,34,52,49,3,50.5,-16.5,"action, crime, thriller",5300000,5.30,12230000,12.23,5.05,5050000,"17,280,000",17.28,29.22%,20,86.40%,26.50%,,,http://www.amazon.com/gp/product/B009EDUD3I/?tag=titb-20,1
17 Again ,2009,original screenplay,55,48,51.5,70,60,10,65,-13.5,"comedy, romance",23700000,23.70,64200000,64.20,72.1,72100000,"136,300,000",136.3,52.90%,20,681.50%,118.50%,,,http://www.amazon.com/gp/product/B0091WAKL2/?tag=titb-20,1
Armored ,2009,original screenplay,40,50,45,34,54,-20,44,1,"action, crime, thriller",6500000,6.50,15990000,15.99,6.95,6950000,"16,000,000",16,43.44%,20,80.00%,32.50%,,,http://www.amazon.com/gp/product/B003883XU0/?tag=titb-20,1
Bandslam ,2009,original screenplay,79,66,72.5,60,69,-9,64.5,8,"comedy, family, music",2200000,2.20,5200000,5.20,7.01,7010000,"12,100,000",12.1,57.93%,20,60.50%,11.00%,,,http://www.amazon.com/gp/product/B0035GNSQ4/?tag=titb-20,1
Fired Up! ,2009,original screenplay,22,31,26.5,52,58,-6,55,-28.5,comedy,5500000,5.50,17200000,17.20,1.37,1370000,"18,600,000",18.6,7.37%,20,93.00%,27.50%,,,http://www.amazon.com/gp/product/B0090QI22I/?tag=titb-20,1
Obsessed ,2009,original screenplay,20,25,22.5,50,53,-3,51.5,-29,thriller,28600000,28.60,68260000,68.26,5.56,5560000,"73,820,000",73.82,7.53%,20,369.10%,143.00%,,,http://www.amazon.com/gp/product/B002KCYIEA/?tag=titb-20,1
The Stepfather,2009,remake / reboot,12,33,22.5,48,57,-9,52.5,-30,"crime, mystery",11600000,11.60,29100000,29.10,2.13,2130000,"31,200,000",31.2,6.83%,20,156.00%,58.00%,,,http://www.amazon.com/gp/product/B009RMZ2Z0/?tag=titb-20,1
The Uninvited ,2009,remake / reboot,31,43,37,52,63,-11,57.5,-20.5,"horror, mystery",10300000,10.30,28600000,28.60,13.03,13030000,"42,700,000",42.7,30.52%,20,213.50%,51.50%,,,http://www.amazon.com/gp/product/B0026OFZZI/?tag=titb-20,1
Friday the 13th,2009,remake / reboot,25,34,29.5,52,62,-10,57,-27.5,horror,40600000,40.60,65000000,65.00,26.4,26400000,"91,400,000",91.4,28.88%,19,481.05%,213.68%,,,http://www.amazon.com/gp/product/B002BCJZ60/?tag=titb-20,1
The Invention of Lying ,2009,original screenplay,56,58,57,47,58,-11,52.5,4.5,"comedy, fantasy, romance",7000000,7.00,18450000,18.45,13.95,13950000,"32,400,000",32.4,43.06%,18.5,175.14%,37.84%,,,http://www.amazon.com/gp/product/B002ZKOVR6/?tag=titb-20,1
I Love You Beth Cooper ,2009,adaptation,14,32,23,38,49,-11,43.5,-20.5,"comedy, romance",4900000,4.90,14800000,14.80,1.02,1020000,"15,820,000",15.82,6.45%,18,87.89%,27.22%,,,http://www.amazon.com/gp/product/B002VDI1TQ/?tag=titb-20,1
Love Happens ,2009,original screenplay,18,33,25.5,40,55,-15,47.5,-22,romance,8050000,8.05,22960000,22.96,13.12,13120000,"36,080,000",36.08,36.36%,18,200.44%,44.72%,,,http://www.amazon.com/gp/product/B0030B0S7Q/?tag=titb-20,1
Observe and Report ,2009,original screenplay,51,54,52.5,40,59,-19,49.5,3,"comedy, crime",11000000,11.00,24000000,24.00,2.96,2960000,"26,960,000",26.96,10.98%,18,149.78%,61.11%,,,http://www.amazon.com/gp/product/B002LATBAM/?tag=titb-20,1
Fame,2009,remake / reboot,25,39,32,43,41,2,42,-10,"comedy, musical",10000000,10.00,22460000,22.46,54.76,54760000,"77,210,000",77.21,70.92%,18,428.94%,55.56%,,,http://www.amazon.com/gp/product/B002ZCAB96/?tag=titb-20,1
My Life in Ruins ,2009,original screenplay,9,34,21.5,43,67,-24,55,-33.5,"comedy, romance",3200000,3.20,8670000,8.67,11.79,11790000,"18,010,000",18.01,65.46%,17,105.94%,18.82%,,,http://www.amazon.com/gp/product/B009EEJKV8/?tag=titb-20,1
Jennifer's Body ,2009,original screenplay,42,47,44.5,37,55,-18,46,-1.5,"comedy, horror",6900000,6.90,16200000,16.20,15.35,15350000,"31,550,000",31.55,48.65%,16,197.19%,43.13%,,,http://www.amazon.com/gp/product/B005F2BC28/?tag=titb-20,1
The Unborn,2009,original screenplay,11,30,20.5,39,52,-13,45.5,-25,"horror, mystery, thriller",19800000,19.80,42670000,42.67,33.84,33840000,"76,510,000",76.51,44.23%,16,478.19%,123.75%,,,http://www.amazon.com/gp/product/B002KGDDUQ/?tag=titb-20,1
Whip It ,2009,adaptation,84,68,76,73,69,4,71,5,sport,4700000,4.70,13000000,13.00,3.59,3590000,"16,000,000",16,22.44%,15,106.67%,31.33%,,,http://www.amazon.com/gp/product/B003413LI0/?tag=titb-20,1
All About Steve ,2009,original screenplay,6,17,11.5,35,41,-6,38,-26.5,comedy,11200000,11.20,33860000,33.86,6.26,6260000,"40,120,000",40.12,15.60%,15,267.47%,74.67%,,,http://www.amazon.com/gp/product/B0031PXFQC/?tag=titb-20,1
Post Grad ,2009,original screenplay,7,35,21,31,66,-35,48.5,-27.5,"comedy, romance",2600000,2.60,6380000,6.38,0.03,30000,"6,380,000",6.38,0.47%,15,42.53%,17.33%,,,http://www.amazon.com/gp/product/B0033VQAIY/?tag=titb-20,1
Whatever Works ,2009,original screenplay,50,45,47.5,63,63,0,63,-15.5,"comedy, romance",260000,0.26,5300000,5.30,29.79,29790000,"35,090,000",35.09,84.90%,15,233.93%,1.73%,,,http://www.amazon.com/gp/product/B002OQWUME/?tag=titb-20,1
Halloween II (2009),2009,sequel,20,50,35,45,56,-11,50.5,-15.5,horror,16300000,16.30,33390000,33.39,6.02,6020000,"39,410,000",39.41,15.28%,15,262.73%,108.67%,,,http://www.amazon.com/gp/product/B0033YIOXA/?tag=titb-20,1
A Perfect Getaway ,2009,original screenplay,61,63,62,50,63,-13,56.5,5.5,"adventure, mystery, thriller",5900000,5.90,15500000,15.50,7.33,7330000,"22,830,000",22.83,32.11%,14,163.07%,42.14%,,,http://www.amazon.com/gp/product/B002VE5472/?tag=titb-20,1
My Bloody Valentine 3-D ,2009,remake / reboot,57,51,54,48,73,-25,60.5,-6.5,"horror, thriller",21200000,21.20,51540000,51.54,49.19,49190000,"100,730,000",100.73,48.83%,14,719.50%,151.43%,,,http://www.amazon.com/gp/product/B002DJU02E/?tag=titb-20,1
Crank: High Voltage ,2009,sequel,62,41,51.5,54,68,-14,61,-9.5,"action, crime, thriller",7000000,7.00,13700000,13.70,20.8,20800000,"34,500,000",34.5,60.29%,12.9,267.44%,54.26%,,,http://www.amazon.com/gp/product/B008Y6Y2YM/?tag=titb-20,1
Gamer ,2009,original screenplay,29,27,28,43,54,-11,48.5,-20.5,"action, sci-fi, thriller",9150000,9.15,20530000,20.53,20.29,20290000,"40,820,000",40.82,49.71%,12.5,326.56%,73.20%,,,http://www.amazon.com/gp/product/B002Z8L5ZE/?tag=titb-20,1
Sorority Row ,2009,remake / reboot,22,24,23,38,57,-19,47.5,-24.5,"horror, thriller",5100000,5.10,11970000,11.97,15.24,15240000,"27,210,000",27.21,56.01%,12.5,217.68%,40.80%,,,http://www.amazon.com/gp/product/B0035GP3OE/?tag=titb-20,1
Saw VI ,2009,sequel,40,30,35,67,64,3,65.5,-30.5,"horror, mystery",14100000,14.10,27690000,27.69,40.5,40500000,"68,190,000",68.19,59.39%,11,619.91%,128.18%,,,http://www.amazon.com/gp/product/B00OSQ7QSQ/?tag=titb-20,1
The Fourth Kind ,2009,based on a true story,18,34,26,44,57,-13,50.5,-24.5,"mystery, sci-fi, thriller",12200000,12.20,25480000,25.48,22.22,22220000,"47,700,000",47.7,46.58%,10,477.00%,122.00%,,,http://www.amazon.com/gp/product/B0036EJEY0/?tag=titb-20,1
Adventureland ,2009,original screenplay,89,76,82.5,56,69,-13,62.5,20,"comedy, romance",5700000,5.70,16040000,16.04,1.12,1120000,"17,160,000",17.16,6.53%,9.8,175.10%,58.16%,,,http://www.amazon.com/gp/product/B008Y76VW2/?tag=titb-20,1
An Education,2009,adaptation,94,85,89.5,78,79,-1,78.5,11,drama ,760000,0.76,12570000,12.57,13.52,13520000,"26,090,000",26.09,51.82%,7.5,347.87%,10.13%,,,http://www.amazon.com/gp/product/B003EJ41KO/?tag=titb-20,1
(500) Days of Summer ,2009,original screenplay,87,76,81.5,81,79,2,80,1.5,"comedy, romance",3800000,3.80,32390000,32.39,28.33,28330000,"60,720,000",60.72,46.66%,7.5,809.60%,50.67%,,,http://www.amazon.com/gp/product/B0031Q0XCA/?tag=titb-20,1
Extract ,2009,original screenplay,62,61,61.5,37,60,-23,48.5,13,"comedy, crime, romance",4300000,4.30,10800000,10.80,0.03,30000,"10,830,000",10.83,0.28%,7.5,144.40%,57.33%,,,http://www.amazon.com/gp/product/B008Y6U6JM/?tag=titb-20,1
A Serious Man ,2009,original screenplay,89,79,84,64,66,-2,65,19,comedy,250000,0.25,9230000,9.23,22.2,22200000,"31,430,000",31.43,70.63%,7,449.00%,3.57%,,,http://www.amazon.com/gp/product/B00336C3EY/?tag=titb-20,1
